Apertura;0.5;Apertura;1;Apertura;1.5;Apertura;2;Apertura;2.5;Apertura;3
-3.83;-0.1;-3.86;-0.4;-3.85;-0.7;-3.86;-1;-3.81;-1.4;-3.85;-1.8
-3.83;-0.1;-3.85;-0.4;-3.84;-0.7;-3.85;-1;-3.8;-1.4;-3.84;-1.7
-3.82;-0.1;-3.85;-0.4;-3.84;-0.7;-3.84;-1;-3.79;-1.4;-3.83;-1.7
-3.8;-0.1;-3.85;-0.4;-3.83;-0.7;-3.84;-1;-3.78;-1.4;-3.83;-1.7
-3.79;-0.1;-3.84;-0.4;-3.83;-0.7;-3.83;-1;-3.78;-1.4;-3.82;-1.7
-3.78;-0.1;-3.83;-0.4;-3.82;-0.7;-3.83;-1;-3.77;-1.4;-3.81;-1.7
-3.77;-0.1;-3.83;-0.4;-3.81;-0.7;-3.82;-1;-3.77;-1.4;-3.8;-1.7
-3.76;-0.1;-3.82;-0.4;-3.81;-0.7;-3.81;-1;-3.77;-1.4;-3.8;-1.7
-3.76;-0.1;-3.82;-0.4;-3.8;-0.7;-3.81;-1;-3.76;-1.4;-3.8;-1.7
-3.75;-0.1;-3.81;-0.4;-3.8;-0.7;-3.8;-1;-3.76;-1.5;-3.79;-1.7
-3.74;-0.1;-3.8;-0.4;-3.79;-0.7;-3.8;-1;-3.76;-1.4;-3.79;-1.7
-3.74;-0.1;-3.8;-0.4;-3.79;-0.7;-3.79;-1;-3.75;-1.4;-3.78;-1.7
-3.73;-0.1;-3.8;-0.4;-3.79;-0.7;-3.79;-1;-3.75;-1.4;-3.78;-1.7
-3.73;-0.1;-3.8;-0.4;-3.78;-0.7;-3.79;-1;-3.75;-1.4;-3.77;-1.7
-3.72;-0.1;-3.79;-0.4;-3.77;-0.7;-3.79;-1;-3.74;-1.4;-3.77;-1.7
-3.71;-0.1;-3.79;-0.4;-3.77;-0.7;-3.78;-1;-3.74;-1.4;-3.76;-1.7
-3.7;-0.1;-3.78;-0.4;-3.76;-0.7;-3.78;-1;-3.73;-1.4;-3.75;-1.7
-3.69;-0.1;-3.78;-0.4;-3.75;-0.7;-3.77;-1;-3.73;-1.4;-3.75;-1.8
-3.69;-0.1;-3.77;-0.4;-3.75;-0.7;-3.76;-1;-3.72;-1.4;-3.75;-1.8
-3.68;-0.1;-3.76;-0.4;-3.74;-0.7;-3.76;-1;-3.72;-1.4;-3.75;-1.8
-3.68;-0.1;-3.75;-0.4;-3.74;-0.7;-3.76;-1;-3.71;-1.4;-3.73;-1.8
-3.67;-0.1;-3.75;-0.4;-3.73;-0.7;-3.75;-1;-3.71;-1.4;-3.72;-1.8
-3.67;-0.1;-3.75;-0.4;-3.72;-0.7;-3.74;-1;-3.71;-1.5;-3.71;-1.7
-3.66;-0.1;-3.74;-0.4;-3.71;-0.7;-3.74;-1;-3.71;-1.4;-3.7;-1.7
-3.65;-0.1;-3.74;-0.4;-3.7;-0.7;-3.73;-1;-3.71;-1.5;-3.7;-1.7
-3.64;-0.1;-3.73;-0.4;-3.7;-0.7;-3.72;-1;-3.7;-1.4;-3.7;-1.7
-3.64;-0.1;-3.72;-0.4;-3.69;-0.7;-3.72;-1;-3.7;-1.4;-3.69;-1.7
-3.63;-0.1;-3.71;-0.4;-3.68;-0.7;-3.71;-1;-3.69;-1.4;-3.68;-1.7
-3.63;-0.1;-3.71;-0.4;-3.67;-0.7;-3.7;-1;-3.69;-1.4;-3.68;-1.7
-3.63;-0.1;-3.7;-0.4;-3.67;-0.7;-3.7;-1;-3.69;-1.4;-3.67;-1.7
-3.62;-0.1;-3.7;-0.4;-3.66;-0.7;-3.7;-1;-3.69;-1.4;-3.66;-1.7
-3.61;-0.1;-3.7;-0.4;-3.65;-0.7;-3.69;-1;-3.68;-1.4;-3.66;-1.7
-3.61;-0.1;-3.69;-0.4;-3.65;-0.7;-3.69;-1;-3.67;-1.4;-3.66;-1.7
-3.59;-0.1;-3.69;-0.4;-3.64;-0.7;-3.69;-1;-3.66;-1.4;-3.66;-1.7
-3.58;-0.1;-3.69;-0.4;-3.63;-0.7;-3.68;-1;-3.66;-1.4;-3.65;-1.7
-3.57;-0.1;-3.68;-0.4;-3.63;-0.7;-3.67;-1;-3.66;-1.4;-3.64;-1.7
-3.57;-0.1;-3.67;-0.4;-3.62;-0.7;-3.67;-1;-3.65;-1.4;-3.64;-1.7
-3.57;-0.1;-3.66;-0.4;-3.61;-0.7;-3.66;-1;-3.64;-1.4;-3.64;-1.7
-3.56;-0.1;-3.64;-0.3;-3.6;-0.7;-3.65;-1;-3.64;-1.4;-3.64;-1.8
-3.55;-0.1;-3.64;-0.3;-3.6;-0.7;-3.64;-1;-3.64;-1.4;-3.64;-1.8
-3.54;-0.1;-3.63;-0.3;-3.59;-0.7;-3.64;-1;-3.63;-1.4;-3.62;-1.7
-3.53;-0.1;-3.63;-0.3;-3.58;-0.7;-3.63;-1;-3.63;-1.4;-3.62;-1.7
-3.51;-0.1;-3.62;-0.3;-3.58;-0.7;-3.62;-1;-3.64;-1.4;-3.62;-1.7
-3.5;-0.1;-3.6;-0.3;-3.57;-0.7;-3.6;-1;-3.63;-1.4;-3.61;-1.7
-3.5;-0.1;-3.6;-0.3;-3.57;-0.7;-3.6;-1;-3.61;-1.4;-3.61;-1.7
-3.49;-0.1;-3.59;-0.3;-3.57;-0.7;-3.59;-1;-3.6;-1.4;-3.61;-1.7
-3.48;-0.1;-3.59;-0.3;-3.56;-0.7;-3.58;-1;-3.59;-1.4;-3.6;-1.7
-3.47;-0.1;-3.59;-0.3;-3.56;-0.7;-3.58;-1;-3.59;-1.4;-3.6;-1.7
-3.47;-0.1;-3.58;-0.3;-3.56;-0.7;-3.58;-1;-3.59;-1.4;-3.6;-1.7
-3.46;-0.1;-3.57;-0.3;-3.55;-0.7;-3.58;-1;-3.59;-1.4;-3.59;-1.8
-3.45;-0.1;-3.57;-0.3;-3.55;-0.7;-3.57;-1;-3.59;-1.4;-3.58;-1.7
-3.44;-0.1;-3.56;-0.3;-3.54;-0.7;-3.56;-1;-3.58;-1.4;-3.58;-1.7
-3.43;-0.1;-3.56;-0.3;-3.54;-0.7;-3.54;-1;-3.57;-1.4;-3.58;-1.7
-3.43;-0.1;-3.55;-0.4;-3.54;-0.7;-3.52;-1;-3.55;-1.4;-3.57;-1.7
-3.42;-0.1;-3.54;-0.4;-3.53;-0.7;-3.51;-0.9;-3.54;-1.4;-3.56;-1.7
-3.41;-0.1;-3.54;-0.4;-3.53;-0.7;-3.5;-0.9;-3.53;-1.4;-3.56;-1.7
-3.41;-0.1;-3.54;-0.4;-3.53;-0.7;-3.49;-0.9;-3.53;-1.4;-3.56;-1.7
-3.4;-0.1;-3.53;-0.4;-3.53;-0.7;-3.48;-0.9;-3.53;-1.4;-3.56;-1.7
-3.4;-0.1;-3.51;-0.3;-3.53;-0.7;-3.47;-0.9;-3.53;-1.4;-3.55;-1.7
-3.39;-0.1;-3.5;-0.3;-3.53;-0.7;-3.46;-0.9;-3.52;-1.4;-3.55;-1.7
-3.38;-0.1;-3.49;-0.3;-3.53;-0.7;-3.45;-0.9;-3.52;-1.4;-3.54;-1.7
-3.37;-0.1;-3.48;-0.3;-3.52;-0.7;-3.44;-0.9;-3.51;-1.4;-3.54;-1.7
-3.36;-0.1;-3.48;-0.3;-3.52;-0.7;-3.44;-0.9;-3.5;-1.4;-3.54;-1.7
-3.36;-0.1;-3.48;-0.3;-3.51;-0.7;-3.44;-0.9;-3.49;-1.4;-3.53;-1.7
-3.35;-0.1;-3.48;-0.3;-3.51;-0.7;-3.43;-0.9;-3.49;-1.4;-3.53;-1.7
-3.33;-0.1;-3.48;-0.4;-3.51;-0.7;-3.42;-0.9;-3.49;-1.4;-3.52;-1.7
-3.32;-0.1;-3.48;-0.4;-3.5;-0.8;-3.41;-0.9;-3.48;-1.4;-3.52;-1.7
-3.31;-0.1;-3.48;-0.4;-3.5;-0.7;-3.4;-0.9;-3.48;-1.4;-3.51;-1.7
-3.31;-0.1;-3.48;-0.4;-3.5;-0.7;-3.39;-0.9;-3.47;-1.4;-3.52;-1.7
-3.29;-0.1;-3.47;-0.4;-3.49;-0.7;-3.39;-0.9;-3.46;-1.4;-3.51;-1.7
-3.28;-0.1;-3.47;-0.4;-3.49;-0.7;-3.39;-0.9;-3.46;-1.4;-3.51;-1.7
-3.27;-0.1;-3.47;-0.4;-3.48;-0.7;-3.38;-0.9;-3.44;-1.4;-3.51;-1.7
-3.26;-0.1;-3.46;-0.4;-3.47;-0.6;-3.37;-0.9;-3.44;-1.3;-3.51;-1.7
-3.25;0;-3.46;-0.4;-3.46;-0.6;-3.37;-1;-3.44;-1.4;-3.49;-1.7
-3.24;-0.1;-3.46;-0.4;-3.45;-0.6;-3.37;-1;-3.43;-1.4;-3.49;-1.7
-3.23;-0.1;-3.46;-0.4;-3.45;-0.7;-3.37;-1;-3.43;-1.4;-3.49;-1.7
-3.23;-0.1;-3.45;-0.4;-3.44;-0.7;-3.36;-1;-3.43;-1.4;-3.49;-1.7
-3.22;-0.1;-3.45;-0.4;-3.44;-0.7;-3.36;-1;-3.42;-1.4;-3.49;-1.7
-3.21;-0.1;-3.44;-0.4;-3.43;-0.6;-3.36;-1;-3.41;-1.3;-3.49;-1.7
-3.2;-0.1;-3.44;-0.4;-3.42;-0.6;-3.36;-1;-3.39;-1.3;-3.49;-1.7
-3.19;-0.1;-3.43;-0.4;-3.42;-0.7;-3.35;-1;-3.37;-1.3;-3.49;-1.7
-3.19;-0.1;-3.42;-0.4;-3.41;-0.6;-3.34;-1;-3.37;-1.3;-3.49;-1.7
-3.18;-0.1;-3.42;-0.4;-3.41;-0.6;-3.33;-1;-3.36;-1.3;-3.48;-1.7
-3.18;-0.1;-3.41;-0.4;-3.4;-0.6;-3.33;-1;-3.35;-1.3;-3.48;-1.7
-3.17;-0.1;-3.4;-0.4;-3.39;-0.6;-3.33;-1;-3.35;-1.3;-3.48;-1.7
-3.16;-0.1;-3.39;-0.4;-3.38;-0.6;-3.33;-1;-3.34;-1.3;-3.48;-1.7
-3.15;-0.1;-3.39;-0.5;-3.37;-0.6;-3.33;-1;-3.34;-1.3;-3.47;-1.7
-3.15;-0.1;-3.38;-0.5;-3.37;-0.6;-3.33;-1;-3.32;-1.3;-3.47;-1.7
-3.14;-0.1;-3.38;-0.5;-3.36;-0.6;-3.32;-1;-3.32;-1.3;-3.47;-1.7
-3.13;-0.1;-3.38;-0.5;-3.35;-0.6;-3.32;-1;-3.31;-1.3;-3.47;-1.7
-3.13;-0.1;-3.37;-0.5;-3.34;-0.6;-3.31;-1;-3.3;-1.3;-3.47;-1.7
-3.13;-0.1;-3.36;-0.5;-3.34;-0.6;-3.3;-1;-3.3;-1.3;-3.46;-1.7
-3.12;-0.1;-3.36;-0.5;-3.33;-0.6;-3.3;-1;-3.28;-1.3;-3.46;-1.7
-3.12;-0.1;-3.34;-0.5;-3.33;-0.6;-3.29;-1;-3.28;-1.3;-3.45;-1.7
-3.11;-0.1;-3.34;-0.5;-3.32;-0.6;-3.29;-1;-3.28;-1.3;-3.44;-1.7
-3.11;-0.1;-3.33;-0.5;-3.31;-0.6;-3.29;-1;-3.27;-1.3;-3.44;-1.7
-3.1;-0.1;-3.32;-0.5;-3.3;-0.6;-3.29;-1;-3.26;-1.3;-3.44;-1.7
-3.1;-0.1;-3.31;-0.5;-3.28;-0.6;-3.29;-1;-3.25;-1.3;-3.44;-1.7
-3.09;-0.1;-3.29;-0.5;-3.27;-0.6;-3.29;-1;-3.24;-1.3;-3.44;-1.7
-3.09;-0.1;-3.29;-0.5;-3.27;-0.6;-3.29;-1;-3.23;-1.3;-3.44;-1.7
-3.08;-0.1;-3.29;-0.5;-3.27;-0.6;-3.28;-1;-3.23;-1.3;-3.43;-1.7
-3.08;-0.1;-3.29;-0.5;-3.26;-0.6;-3.27;-1;-3.22;-1.3;-3.43;-1.7
-3.07;-0.1;-3.29;-0.5;-3.26;-0.7;-3.25;-0.9;-3.22;-1.3;-3.42;-1.7
-3.07;-0.1;-3.29;-0.5;-3.26;-0.7;-3.25;-0.9;-3.21;-1.3;-3.41;-1.7
-3.07;-0.1;-3.29;-0.6;-3.25;-0.7;-3.25;-1;-3.2;-1.3;-3.4;-1.7
-3.06;-0.1;-3.29;-0.6;-3.25;-0.7;-3.24;-1;-3.2;-1.3;-3.4;-1.7
-3.05;-0.1;-3.28;-0.6;-3.25;-0.7;-3.23;-1;-3.19;-1.3;-3.4;-1.7
-3.04;-0.1;-3.27;-0.6;-3.25;-0.7;-3.22;-1;-3.19;-1.3;-3.39;-1.7
-3.04;-0.1;-3.27;-0.6;-3.25;-0.7;-3.22;-1;-3.18;-1.3;-3.38;-1.7
-3.03;-0.1;-3.26;-0.6;-3.25;-0.7;-3.21;-0.9;-3.17;-1.3;-3.38;-1.7
-3.03;-0.1;-3.26;-0.6;-3.25;-0.7;-3.2;-0.9;-3.17;-1.3;-3.37;-1.7
-3.02;-0.1;-3.26;-0.6;-3.24;-0.7;-3.2;-0.9;-3.17;-1.3;-3.37;-1.7
-3.02;-0.1;-3.25;-0.6;-3.24;-0.7;-3.19;-0.9;-3.17;-1.3;-3.36;-1.7
-3.01;-0.1;-3.25;-0.6;-3.23;-0.7;-3.18;-0.9;-3.16;-1.3;-3.36;-1.7
-3.01;-0.1;-3.25;-0.6;-3.22;-0.7;-3.18;-0.9;-3.16;-1.3;-3.35;-1.7
-3;-0.1;-3.24;-0.6;-3.22;-0.7;-3.17;-0.9;-3.15;-1.3;-3.34;-1.7
-3;-0.1;-3.24;-0.6;-3.21;-0.6;-3.16;-0.9;-3.15;-1.3;-3.33;-1.7
-2.99;-0.1;-3.24;-0.6;-3.21;-0.6;-3.16;-0.9;-3.14;-1.4;-3.32;-1.6
-2.99;-0.1;-3.23;-0.6;-3.2;-0.6;-3.16;-0.9;-3.14;-1.4;-3.32;-1.6
-2.99;-0.1;-3.23;-0.6;-3.2;-0.6;-3.16;-0.9;-3.14;-1.4;-3.31;-1.6
-2.98;-0.1;-3.22;-0.5;-3.19;-0.6;-3.15;-0.9;-3.14;-1.4;-3.3;-1.6
-2.97;-0.1;-3.23;-0.5;-3.19;-0.6;-3.14;-0.9;-3.13;-1.4;-3.29;-1.6
-2.97;-0.1;-3.22;-0.5;-3.18;-0.6;-3.14;-0.9;-3.12;-1.4;-3.28;-1.6
-2.97;-0.1;-3.21;-0.5;-3.18;-0.6;-3.13;-0.9;-3.12;-1.4;-3.28;-1.6
-2.97;-0.1;-3.21;-0.5;-3.17;-0.6;-3.12;-0.9;-3.11;-1.3;-3.27;-1.6
-2.97;-0.1;-3.21;-0.5;-3.17;-0.6;-3.12;-0.9;-3.11;-1.3;-3.27;-1.6
-2.96;-0.1;-3.2;-0.5;-3.16;-0.6;-3.11;-0.9;-3.11;-1.4;-3.27;-1.6
-2.95;-0.1;-3.19;-0.5;-3.15;-0.6;-3.1;-0.9;-3.11;-1.4;-3.26;-1.6
-2.94;-0.1;-3.18;-0.5;-3.15;-0.6;-3.1;-0.9;-3.1;-1.4;-3.25;-1.6
-2.94;-0.1;-3.18;-0.5;-3.14;-0.6;-3.09;-0.9;-3.09;-1.4;-3.25;-1.6
-2.93;-0.1;-3.18;-0.5;-3.13;-0.6;-3.08;-0.9;-3.08;-1.3;-3.24;-1.6
-2.93;-0.1;-3.17;-0.5;-3.12;-0.6;-3.08;-0.9;-3.08;-1.4;-3.24;-1.6
-2.92;-0.1;-3.17;-0.5;-3.12;-0.6;-3.07;-0.9;-3.07;-1.4;-3.24;-1.6
-2.92;-0.1;-3.17;-0.5;-3.12;-0.6;-3.07;-0.9;-3.07;-1.4;-3.23;-1.7
-2.92;-0.1;-3.15;-0.5;-3.11;-0.6;-3.06;-0.9;-3.06;-1.4;-3.23;-1.7
-2.91;-0.1;-3.15;-0.5;-3.1;-0.6;-3.06;-0.9;-3.06;-1.4;-3.22;-1.7
-2.91;-0.1;-3.14;-0.5;-3.1;-0.6;-3.05;-0.9;-3.06;-1.4;-3.2;-1.7
-2.91;-0.1;-3.13;-0.5;-3.1;-0.6;-3.05;-0.9;-3.06;-1.4;-3.2;-1.7
-2.9;-0.1;-3.12;-0.5;-3.1;-0.6;-3.05;-0.9;-3.05;-1.4;-3.2;-1.7
-2.89;-0.1;-3.12;-0.5;-3.1;-0.6;-3.05;-0.9;-3.05;-1.4;-3.19;-1.7
-2.89;-0.1;-3.11;-0.5;-3.09;-0.6;-3.04;-0.9;-3.04;-1.4;-3.19;-1.7
-2.88;-0.1;-3.11;-0.5;-3.08;-0.6;-3.03;-0.9;-3.03;-1.3;-3.19;-1.7
-2.88;-0.1;-3.1;-0.5;-3.07;-0.6;-3.03;-0.9;-3.02;-1.3;-3.17;-1.7
-2.87;-0.1;-3.09;-0.5;-3.07;-0.6;-3.03;-0.9;-3.02;-1.3;-3.17;-1.6
-2.86;-0.1;-3.09;-0.5;-3.07;-0.6;-3.02;-0.9;-3.02;-1.3;-3.16;-1.6
-2.86;-0.1;-3.08;-0.5;-3.07;-0.6;-3.01;-0.9;-3;-1.3;-3.16;-1.6
-2.85;-0.1;-3.08;-0.5;-3.06;-0.6;-3.01;-0.9;-3;-1.3;-3.15;-1.6
-2.85;-0.1;-3.07;-0.5;-3.05;-0.6;-3;-0.9;-2.99;-1.3;-3.15;-1.6
-2.85;-0.1;-3.06;-0.5;-3.05;-0.7;-3;-0.9;-2.99;-1.3;-3.14;-1.6
-2.84;-0.1;-3.05;-0.5;-3.04;-0.6;-2.99;-0.9;-2.98;-1.3;-3.14;-1.6
-2.84;-0.1;-3.05;-0.5;-3.04;-0.6;-2.99;-0.9;-2.97;-1.3;-3.13;-1.6
-2.83;-0.1;-3.05;-0.5;-3.04;-0.6;-2.98;-0.9;-2.96;-1.3;-3.13;-1.6
-2.82;-0.1;-3.05;-0.5;-3.03;-0.6;-2.98;-0.9;-2.96;-1.3;-3.12;-1.6
-2.81;-0.1;-3.04;-0.5;-3.02;-0.6;-2.98;-0.9;-2.95;-1.3;-3.12;-1.6
-2.8;-0.1;-3.04;-0.5;-3.02;-0.6;-2.97;-0.9;-2.94;-1.3;-3.12;-1.6
-2.8;-0.1;-3.03;-0.5;-3.01;-0.6;-2.97;-0.9;-2.93;-1.3;-3.11;-1.7
-2.8;-0.1;-3.03;-0.5;-3.01;-0.6;-2.96;-0.9;-2.93;-1.3;-3.1;-1.6
-2.79;-0.1;-3.02;-0.5;-3;-0.6;-2.96;-0.9;-2.92;-1.3;-3.1;-1.6
-2.79;-0.1;-3.01;-0.5;-3;-0.6;-2.95;-0.9;-2.92;-1.3;-3.09;-1.6
-2.78;-0.1;-3;-0.5;-2.99;-0.6;-2.94;-0.9;-2.9;-1.3;-3.09;-1.6
-2.78;-0.1;-3;-0.5;-2.99;-0.6;-2.93;-0.9;-2.89;-1.3;-3.09;-1.6
-2.78;-0.1;-3;-0.5;-2.98;-0.6;-2.93;-0.9;-2.88;-1.3;-3.09;-1.6
-2.77;-0.1;-2.99;-0.5;-2.97;-0.6;-2.92;-0.9;-2.88;-1.3;-3.09;-1.6
-2.77;-0.1;-2.99;-0.5;-2.96;-0.6;-2.92;-0.9;-2.86;-1.3;-3.07;-1.6
-2.77;-0.1;-2.99;-0.5;-2.95;-0.6;-2.92;-0.9;-2.86;-1.3;-3.06;-1.6
-2.77;-0.1;-2.99;-0.5;-2.95;-0.6;-2.91;-0.9;-2.85;-1.3;-3.06;-1.6
-2.77;-0.1;-2.98;-0.5;-2.95;-0.6;-2.91;-0.9;-2.85;-1.3;-3.05;-1.6
-2.76;-0.1;-2.98;-0.5;-2.94;-0.6;-2.9;-0.9;-2.84;-1.3;-3.05;-1.6
-2.75;-0.1;-2.97;-0.5;-2.94;-0.6;-2.9;-0.9;-2.82;-1.3;-3.04;-1.6
-2.75;-0.1;-2.96;-0.5;-2.93;-0.6;-2.89;-0.9;-2.81;-1.3;-3.04;-1.7
-2.74;-0.1;-2.96;-0.5;-2.93;-0.6;-2.89;-0.9;-2.81;-1.3;-3.03;-1.7
-2.73;-0.1;-2.95;-0.5;-2.92;-0.6;-2.88;-0.9;-2.8;-1.3;-3.03;-1.6
-2.73;-0.1;-2.95;-0.5;-2.92;-0.6;-2.87;-0.9;-2.8;-1.3;-3.02;-1.6
-2.72;-0.1;-2.94;-0.5;-2.92;-0.6;-2.87;-0.9;-2.79;-1.3;-3.01;-1.6
-2.71;-0.1;-2.94;-0.5;-2.91;-0.6;-2.87;-0.9;-2.78;-1.3;-3.01;-1.6
-2.71;-0.1;-2.93;-0.5;-2.91;-0.6;-2.86;-0.9;-2.77;-1.3;-3;-1.6
-2.7;-0.1;-2.93;-0.5;-2.91;-0.6;-2.85;-0.9;-2.76;-1.3;-3;-1.6
-2.7;-0.1;-2.92;-0.5;-2.9;-0.6;-2.84;-0.9;-2.74;-1.2;-3;-1.6
-2.69;-0.1;-2.92;-0.5;-2.89;-0.6;-2.84;-0.9;-2.74;-1.2;-2.99;-1.6
-2.68;-0.1;-2.92;-0.5;-2.89;-0.6;-2.83;-0.9;-2.73;-1.2;-2.98;-1.6
-2.68;-0.1;-2.91;-0.5;-2.88;-0.6;-2.83;-0.9;-2.73;-1.2;-2.97;-1.6
-2.66;-0.1;-2.91;-0.5;-2.88;-0.6;-2.82;-0.9;-2.73;-1.2;-2.97;-1.6
-2.65;-0.1;-2.9;-0.5;-2.87;-0.6;-2.82;-0.9;-2.73;-1.3;-2.97;-1.6
-2.65;-0.1;-2.9;-0.5;-2.86;-0.6;-2.81;-0.9;-2.71;-1.3;-2.96;-1.6
-2.64;-0.1;-2.89;-0.5;-2.86;-0.6;-2.81;-0.9;-2.68;-1.2;-2.96;-1.6
-2.64;-0.1;-2.89;-0.5;-2.85;-0.6;-2.81;-0.9;-2.67;-1.2;-2.95;-1.6
-2.63;-0.1;-2.88;-0.5;-2.85;-0.6;-2.8;-0.9;-2.66;-1.2;-2.95;-1.6
-2.63;-0.1;-2.87;-0.5;-2.84;-0.6;-2.8;-0.9;-2.65;-1.2;-2.95;-1.6
-2.63;-0.1;-2.87;-0.5;-2.83;-0.6;-2.79;-0.9;-2.64;-1.2;-2.95;-1.6
-2.62;-0.1;-2.87;-0.5;-2.83;-0.6;-2.79;-0.9;-2.64;-1.2;-2.94;-1.6
-2.61;-0.1;-2.86;-0.5;-2.82;-0.6;-2.78;-0.9;-2.63;-1.2;-2.93;-1.6
-2.61;-0.1;-2.85;-0.5;-2.82;-0.6;-2.78;-0.9;-2.62;-1.2;-2.93;-1.6
-2.6;-0.1;-2.85;-0.5;-2.82;-0.6;-2.77;-0.9;-2.6;-1.2;-2.92;-1.6
-2.59;-0.1;-2.84;-0.5;-2.81;-0.6;-2.76;-0.9;-2.59;-1.2;-2.91;-1.6
-2.59;-0.1;-2.83;-0.5;-2.81;-0.6;-2.76;-0.9;-2.57;-1.2;-2.91;-1.6
-2.58;-0.1;-2.83;-0.5;-2.8;-0.6;-2.75;-0.9;-2.57;-1.2;-2.9;-1.6
-2.58;-0.1;-2.83;-0.5;-2.79;-0.6;-2.74;-0.9;-2.57;-1.2;-2.89;-1.6
-2.58;-0.2;-2.82;-0.5;-2.79;-0.6;-2.73;-0.9;-2.56;-1.2;-2.89;-1.6
-2.57;-0.2;-2.81;-0.5;-2.79;-0.6;-2.73;-0.9;-2.55;-1.2;-2.88;-1.6
-2.57;-0.2;-2.8;-0.5;-2.78;-0.6;-2.72;-0.9;-2.55;-1.2;-2.87;-1.6
-2.57;-0.2;-2.8;-0.5;-2.78;-0.6;-2.72;-0.9;-2.53;-1.2;-2.86;-1.6
-2.56;-0.2;-2.8;-0.5;-2.78;-0.6;-2.71;-0.9;-2.51;-1.2;-2.85;-1.6
-2.56;-0.2;-2.8;-0.5;-2.77;-0.6;-2.7;-0.9;-2.49;-1.2;-2.84;-1.6
-2.55;-0.2;-2.79;-0.5;-2.76;-0.6;-2.69;-0.9;-2.49;-1.2;-2.84;-1.6
-2.53;-0.2;-2.79;-0.5;-2.76;-0.6;-2.68;-0.9;-2.48;-1.2;-2.83;-1.6
